name,dGal4_med15mnase,dMig3_med15mnase,dMsn2_med15mnase
YGK3,544.2344189141226,496.5694681808179,449.96760147720136
VPS68,1178.5331334006269,1322.315628229056,1368.21557237331
ALR1,1389.5498531767496,946.8264453706263,367.5606268840152
YOL131W,0.0,0.0,0.0
GAS4,94.97286057063994,114.04466365372102,68.74828040544212
HRT1,1401.7832429939995,845.4533806045886,2222.8353900083775
YOL134C,0.0,0.0,0.0
MED7,1401.7832429939995,845.4533806045886,2222.8353900083775
PFK27,3533.516874268151,3695.612080519086,5276.803042316535
BSC6,722.7176654392599,318.8944222412503,286.50128045301165
RTC1,722.7176654392599,318.8944222412503,286.50128045301165
CDC33,892.761277881207,909.366998851239,880.7472374743055
ARG8,258.2543677700591,431.2502122855084,577.488241986707
PPM2,274.39854676011686,153.71769255406326,72.48954159212718
RRP40,1512.7080137066582,2082.4561664433645,2461.210786641118
RIB4,1512.7080137066582,2082.4561664433645,2461.210786641118
NOP8,356.84334465697714,486.9304158371383,481.2628139513429
CTR9,356.84334465697714,486.9304158371383,481.2628139513429
PSF3,218.10110824783666,53.23634401552138,309.1725396411526
PEX11,218.10110824783666,53.23634401552138,309.1725396411526
SPT20,331.478915835635,458.78740767081104,291.4335142079325
DCP1,209.23598456670067,406.5945794152104,371.0109596349342
YOL150C,0.0,0.0,0.0
GRE2,390.06288174951794,230.9163308958107,315.56795141433275
FRE7,291.5166763128288,375.59697810531236,239.86791719509222
YOL153C,540.2155448235637,282.7458063099907,265.954603249204
ZPS1,256.9957871633216,107.84769535829219,342.84631681275596
HPF1,2158.6627842835496,1500.5817712397916,1148.6115382163657
HXT11,0.0,0.0,0.0
IMA2,0.0,0.0,0.0
ENB1,4751.944085703784,4680.641612397771,3106.7672861437377
CSS3,203.605299982725,192.69753087377416,194.55732274343885
YOL160W,0.0,0.0,0.0
PAU20,0.0,0.0,0.0
YOL162W,0.0,0.0,0.0
YOL163W,0.0,0.0,0.0
BDS1,140.4374148219433,161.93037198939453,360.39873399756374
AAD15,0.0,0.0,0.0
YOL166C,0.0,0.0,0.0
RRP6,83.20095671368296,82.80688369315693,79.91664695886281
ALG6,279.8607164680669,424.62714423705614,968.5313376062052
YSP3,284.46863087597706,320.6270087357391,377.65148300336114
UTP23,49.305933162859375,12.160301738282248,106.02950347910513
DNL4,67.59469596315131,229.4535822147653,148.91083677360723
TSR3,391.65153995794344,394.7093095238213,518.9818789410963
SGT2,285.40849068060146,191.6093076055169,482.8379345584169
SLG1,773.6571637026541,908.9985115388163,1034.1173052683075
YOR008C-A,0.0,0.0,0.0
TIR4,758.3253705697934,695.0677815686538,810.4280934678391
TIR2,1262.4987211688613,892.0878920965292,1092.1741337039105
AUS1,506.23960637725673,519.3870516379786,667.5746283897108
YOR012W,65.94656303699932,597.8782610391642,428.91146711388984
IRC11,65.94656303699932,597.8782610391642,428.91146711388984
RTS1,2124.2918162020715,1898.810123026497,1506.0734098498156
YOR015W,1681.6373574434829,2062.9083306014536,317.94081904098516
ERP4,341.7238182788493,343.71168367897894,467.1370019004786
PET127,341.7238182788493,343.71168367897894,467.1370019004786
ROD1,973.3207316705052,799.3383038067707,851.2631630284902
YOR019W,421.0263738028915,119.6236893470973,145.61887257490844
HSP10,1915.9053348499065,2613.2399886447597,1917.4858821711655
SFM1,529.2035334422939,517.8366626351486,683.1267692700491
DDL1,84.52674547996341,513.2159014554054,336.0388013750561
AHC1,1896.520326988527,3286.219966267624,2505.92357974456
YOR024W,0.0,0.0,0.0
HST3,1896.520326988527,3286.219966267624,2505.92357974456
BUB3,450.4385778866472,28.13056814456527,1122.083615849322
STI1,90.08771557732945,103.14541653007267,380.8701387944709
CIN5,6852.082638901096,9051.499531716312,3313.79287300055
YOR029W,0.0,0.0,0.0
DFG16,569.1998088043056,761.3596854123471,562.568448991242
CRS5,155.21888104082728,141.17011335478105,105.57347902330122
HMS1,3049.293776226255,2907.0291576201535,2076.820031130996
EXO1,369.5906280095566,79.34262810005589,499.6067015906858
AKR2,772.1202243151083,305.5332621480552,342.2310705002203
SHE4,1177.7365618690949,972.6584979739583,1563.0277253140448
PEP12,1177.7365618690949,972.6584979739583,1563.0277253140448
CYC2,141.00197619703866,184.23185912378653,59.03617104381074
HIR2,564.6934232083528,744.6301274418869,578.4290019430462
CKB2,564.6934232083528,744.6301274418869,578.4290019430462
GLO4,399.012571644927,84.33571913001046,231.54964045078975
YOR041C,4180.648769750307,4640.571739398136,5717.307316088438
CUE5,887.3513343248261,1369.1093499800827,1695.5230295762804
WHI2,4180.648769750307,4640.571739398136,5717.307316088438
IRC23,1286.1992854171651,1695.8069318856544,1848.2973319589823
TOM6,584.080555210199,826.5059957566409,648.4083987106768
DBP5,318.9400691405316,196.94586982562888,467.8700383405392
STD1,8732.968245425256,8276.65361221693,2775.7330693685917
RAT1,822.9808430517378,980.315312941086,611.3469527844838
RSB1,3067.389933813177,1882.2764461078211,534.1869900969264
YOR050C,295.70935777654984,106.72535022959116,149.9326214885363
ETT1,5919.3043936199265,6366.912276545462,4347.347416498765
TMC1,2610.371699001667,2829.137933422833,2108.016690655104
YOR053W,0.0,0.0,0.0
VHS3,1215.173507023539,1808.5751688304326,975.1316551301106
YOR055W,0.0,0.0,0.0
NOB1,689.9035443957584,966.0337244078262,1085.6016750934907
SGT1,689.9035443957584,966.0337244078262,1085.6016750934907
ASE1,216.60100487558174,181.72064247119454,106.96400188019763
LPL1,0.0,0.0,0.0
SLD7,729.1455192008922,927.5236330709691,920.0530420361814
CKA2,729.1455192008922,927.5236330709691,920.0530420361814
YOR062C,3146.537021312035,4012.6301464717844,4414.723022858025
RPL3,2692.8287392061866,3379.681652059445,3970.7538270311193
YNG1,1660.530288380614,1979.1111094346516,2547.938660291931
CYT1,1660.530288380614,1979.1111094346516,2547.938660291931
MSA1,1443.31955081165,1812.0442040955954,1807.4579390767697
ALG8,257.2621607751357,368.4523924528297,368.3987893026053
VAM10,0.0,0.0,0.0
VPS5,257.2621607751357,368.4523924528297,368.3987893026053
GYP1,306.36740025335945,256.78622115611915,279.30870483411695
NRT1,2780.2075586062238,1954.3483956857972,2856.544915883979
YOR072W,0.0,0.0,0.0
SGO1,266.86905262541524,327.6715625316498,210.8855778681205
CDC21,130.34220285303402,13.356960413966245,92.3263423044646
UFE1,130.34220285303402,13.356960413966245,92.3263423044646
SKI7,638.941429304494,777.5213368972004,835.0734000988605
RTS2,638.941429304494,777.5213368972004,835.0734000988605
BUD21,255.37332882685484,410.5158340772053,312.04127196685954
